Stock data for AAPL (1 day bars from 2024-01-01 to 2024-02-01):

Date       | Open     | High     | Low      | Close
-----------|----------|----------|----------|----------
2024-01-02 |   187.15 |   188.44 |   183.89 |   185.64
2024-01-03 |   184.22 |   185.88 |   183.43 |   184.25
2024-01-04 |   182.15 |   183.09 |   180.88 |   181.91
2024-01-05 |   181.99 |   182.76 |   180.17 |   181.18
2024-01-08 |   182.09 |   185.60 |   181.50 |   185.56
2024-01-09 |   183.92 |   185.15 |   182.73 |   185.14
2024-01-10 |   184.35 |   186.40 |   183.92 |   186.19
2024-01-11 |   186.54 |   187.05 |   183.62 |   185.59
2024-01-12 |   186.06 |   186.74 |   185.19 |   185.92
2024-01-16 |   182.16 |   184.26 |   180.93 |   183.63
2024-01-17 |   181.27 |   182.93 |   180.30 |   182.68
2024-01-18 |   186.09 |   189.14 |   185.83 |   188.63
2024-01-19 |   189.33 |   191.95 |   188.82 |   191.56
2024-01-22 |   192.30 |   195.33 |   192.26 |   193.89
2024-01-23 |   195.02 |   195.75 |   193.83 |   195.18
2024-01-24 |   195.42 |   196.38 |   194.34 |   194.50
2024-01-25 |   195.22 |   196.27 |   193.11 |   194.17
2024-01-26 |   194.27 |   194.76 |   191.94 |   192.42
2024-01-29 |   192.01 |   192.20 |   189.58 |   191.73
2024-01-30 |   190.94 |   191.80 |   187.47 |   188.04
2024-01-31 |   187.04 |   187.10 |   184.35 |   184.40
2024-02-01 |   183.99 |   186.95 |   183.82 |   186.86

Total records: 22
